season,team,offense_firstDowns,offense_firstDownsOpponent,offense_fourthDownConversions,offense_fourthDownConversionsOpponent,offense_fourthDowns,offense_fourthDownsOpponent,offense_fumblesLost,offense_fumblesLostOpponent,offense_fumblesRecovered,offense_fumblesRecoveredOpponent,offense_games,offense_interceptions,offense_interceptionsOpponent,offense_interceptionTDs,offense_interceptionTDsOpponent,offense_interceptionYards,offense_interceptionYardsOpponent,offense_kickReturns,offense_kickReturnsOpponent,offense_kickReturnTDs,offense_kickReturnTDsOpponent,offense_kickReturnYards,offense_kickReturnYardsOpponent,offense_netPassingYards,offense_netPassingYardsOpponent,offense_passAttempts,offense_passAttemptsOpponent,offense_passCompletions,offense_passCompletionsOpponent,offense_passesIntercepted,offense_passesInterceptedOpponent,offense_passingTDs,offense_passingTDsOpponent,offense_penalties,offense_penaltiesOpponent,offense_penaltyYards,offense_penaltyYardsOpponent,offense_possessionTime,offense_possessionTimeOpponent,offense_puntReturns,offense_puntReturnsOpponent,offense_puntReturnTDs,offense_puntReturnTDsOpponent,offense_puntReturnYards,offense_puntReturnYardsOpponent,offense_rushingAttempts,offense_rushingAttemptsOpponent,offense_rushingTDs,offense_rushingTDsOpponent,offense_rushingYards,offense_rushingYardsOpponent,offense_sacks,offense_sacksOpponent,offense_tacklesForLoss,offense_tacklesForLossOpponent,offense_thirdDownConversions,offense_thirdDownConversionsOpponent,offense_thirdDowns,offense_thirdDownsOpponent,offense_totalYards,offense_totalYardsOpponent,offense_turnovers,offense_turnoversOpponent,defense_firstDowns,defense_firstDownsOpponent,defense_fourthDownConversions,defense_fourthDownConversionsOpponent,defense_fourthDowns,defense_fourthDownsOpponent,defense_fumblesLost,defense_fumblesLostOpponent,defense_fumblesRecovered,defense_fumblesRecoveredOpponent,defense_games,defense_interceptions,defense_interceptionsOpponent,defense_interceptionTDs,defense_interceptionTDsOpponent,defense_interceptionYards,defense_interceptionYardsOpponent,defense_kickReturns,defense_kickReturnsOpponent,defense_kickReturnTDs,defense_kickReturnTDsOpponent,defense_kickReturnYards,defense_kickReturnYardsOpponent,defense_netPassingYards,defense_netPassingYardsOpponent,defense_passAttempts,defense_passAttemptsOpponent,defense_passCompletions,defense_passCompletionsOpponent,defense_passesIntercepted,defense_passesInterceptedOpponent,defense_passingTDs,defense_passingTDsOpponent,defense_penalties,defense_penaltiesOpponent,defense_penaltyYards,defense_penaltyYardsOpponent,defense_possessionTime,defense_possessionTimeOpponent,defense_puntReturns,defense_puntReturnsOpponent,defense_puntReturnTDs,defense_puntReturnTDsOpponent,defense_puntReturnYards,defense_puntReturnYardsOpponent,defense_rushingAttempts,defense_rushingAttemptsOpponent,defense_rushingTDs,defense_rushingTDsOpponent,defense_rushingYards,defense_rushingYardsOpponent,defense_sacks,defense_sacksOpponent,defense_tacklesForLoss,defense_tacklesForLossOpponent,defense_thirdDownConversions,defense_thirdDownConversionsOpponent,defense_thirdDowns,defense_thirdDownsOpponent,defense_totalYards,defense_totalYardsOpponent,defense_turnovers,defense_turnoversOpponent
2018,Ball State,283.0,296.0,15.0,10.0,25.0,20.0,10.0,6.0,5.0,9.0,12,12.0,12.0,0.0,0.0,92.0,104.0,36.0,34.0,0.0,0.0,513.0,643.0,3023.0,2525.0,476.0,353.0,288.0,229.0,12.0,12.0,17.0,13.0,82.0,84.0,803.0,740.0,20083.0,23099.0,10.0,18.0,0.0,1.0,87.0,181.0,448.0,560.0,20.0,36.0,1868.0,2878.0,20.0,27.0,66.0,68.0,81.0,71.0,190.0,166.0,4891.0,5403.0,22.0,18.0,283.0,296.0,15.0,10.0,25.0,20.0,10.0,6.0,5.0,9.0,12,12.0,12.0,0.0,0.0,92.0,104.0,36.0,34.0,0.0,0.0,513.0,643.0,3023.0,2525.0,476.0,353.0,288.0,229.0,12.0,12.0,17.0,13.0,82.0,84.0,803.0,740.0,20083.0,23099.0,10.0,18.0,0.0,1.0,87.0,181.0,448.0,560.0,20.0,36.0,1868.0,2878.0,20.0,27.0,66.0,68.0,81.0,71.0,190.0,166.0,4891.0,5403.0,22.0,18.0
2018,Baylor,331.0,267.0,13.0,8.0,22.0,15.0,6.0,2.0,2.0,6.0,13,13.0,7.0,0.0,1.0,37.0,193.0,30.0,27.0,0.0,0.0,532.0,580.0,3775.0,3124.0,486.0,411.0,296.0,246.0,8.0,13.0,22.0,25.0,101.0,80.0,962.0,731.0,25541.0,21163.0,17.0,11.0,2.0,0.0,112.0,96.0,501.0,440.0,25.0,25.0,2190.0,2385.0,23.0,39.0,63.0,93.0,80.0,78.0,184.0,177.0,5965.0,5509.0,19.0,9.0,331.0,267.0,13.0,8.0,22.0,15.0,6.0,2.0,2.0,6.0,13,13.0,7.0,0.0,1.0,37.0,193.0,30.0,27.0,0.0,0.0,532.0,580.0,3775.0,3124.0,486.0,411.0,296.0,246.0,8.0,13.0,22.0,25.0,101.0,80.0,962.0,731.0,25541.0,21163.0,17.0,11.0,2.0,0.0,112.0,96.0,501.0,440.0,25.0,25.0,2190.0,2385.0,23.0,39.0,63.0,93.0,80.0,78.0,184.0,177.0,5965.0,5509.0,19.0,9.0
2018,Boise State,314.0,232.0,13.0,14.0,22.0,23.0,5.0,15.0,14.0,4.0,13,8.0,7.0,1.0,0.0,145.0,144.0,28.0,28.0,1.0,0.0,521.0,561.0,3796.0,2985.0,460.0,380.0,310.0,238.0,7.0,8.0,31.0,17.0,75.0,78.0,699.0,595.0,25640.0,20740.0,33.0,10.0,1.0,2.0,260.0,150.0,518.0,435.0,24.0,16.0,2178.0,1601.0,37.0,29.0,76.0,69.0,106.0,50.0,202.0,163.0,5974.0,4586.0,13.0,22.0,314.0,232.0,13.0,14.0,22.0,23.0,5.0,15.0,14.0,4.0,13,8.0,7.0,1.0,0.0,145.0,144.0,28.0,28.0,1.0,0.0,521.0,561.0,3796.0,2985.0,460.0,380.0,310.0,238.0,7.0,8.0,31.0,17.0,75.0,78.0,699.0,595.0,25640.0,20740.0,33.0,10.0,1.0,2.0,260.0,150.0,518.0,435.0,24.0,16.0,2178.0,1601.0,37.0,29.0,76.0,69.0,106.0,50.0,202.0,163.0,5974.0,4586.0,13.0,22.0
2018,Boston College,234.0,253.0,16.0,14.0,31.0,28.0,10.0,8.0,7.0,8.0,12,9.0,18.0,2.0,0.0,331.0,6.0,47.0,44.0,0.0,0.0,1114.0,933.0,2577.0,2973.0,337.0,441.0,194.0,249.0,18.0,9.0,25.0,17.0,75.0,65.0,590.0,529.0,20090.0,23008.0,23.0,30.0,3.0,3.0,300.0,268.0,557.0,491.0,23.0,19.0,2292.0,1766.0,33.0,24.0,81.0,76.0,64.0,75.0,186.0,201.0,4869.0,4739.0,19.0,26.0,234.0,253.0,16.0,14.0,31.0,28.0,10.0,8.0,7.0,8.0,12,9.0,18.0,2.0,0.0,331.0,6.0,47.0,44.0,0.0,0.0,1114.0,933.0,2577.0,2973.0,337.0,441.0,194.0,249.0,18.0,9.0,25.0,17.0,75.0,65.0,590.0,529.0,20090.0,23008.0,23.0,30.0,3.0,3.0,300.0,268.0,557.0,491.0,23.0,19.0,2292.0,1766.0,33.0,24.0,81.0,76.0,64.0,75.0,186.0,201.0,4869.0,4739.0,19.0,26.0
2018,Bowling Green,229.0,281.0,9.0,19.0,18.0,26.0,9.0,8.0,7.0,9.0,12,13.0,6.0,0.0,2.0,20.0,146.0,35.0,35.0,0.0,0.0,600.0,652.0,2864.0,2026.0,405.0,261.0,250.0,137.0,6.0,13.0,29.0,21.0,93.0,79.0,788.0,761.0,21106.0,22004.0,18.0,24.0,0.0,0.0,99.0,30.0,416.0,573.0,9.0,42.0,1396.0,3426.0,15.0,29.0,39.0,80.0,69.0,69.0,177.0,156.0,4260.0,5452.0,22.0,14.0,229.0,281.0,9.0,19.0,18.0,26.0,9.0,8.0,7.0,9.0,12,13.0,6.0,0.0,2.0,20.0,146.0,35.0,35.0,0.0,0.0,600.0,652.0,2864.0,2026.0,405.0,261.0,250.0,137.0,6.0,13.0,29.0,21.0,93.0,79.0,788.0,761.0,21106.0,22004.0,18.0,24.0,0.0,0.0,99.0,30.0,416.0,573.0,9.0,42.0,1396.0,3426.0,15.0,29.0,39.0,80.0,69.0,69.0,177.0,156.0,4260.0,5452.0,22.0,14.0
2018,Buffalo,309.0,252.0,19.0,21.0,32.0,32.0,7.0,10.0,10.0,5.0,14,13.0,14.0,0.0,0.0,94.0,53.0,36.0,31.0,0.0,0.0,646.0,683.0,3155.0,2719.0,419.0,404.0,230.0,217.0,14.0,13.0,28.0,24.0,69.0,106.0,572.0,1087.0,26348.0,23852.0,26.0,17.0,0.0,1.0,255.0,102.0,585.0,545.0,38.0,22.0,2660.0,2256.0,35.0,11.0,79.0,50.0,84.0,77.0,198.0,206.0,5815.0,4975.0,20.0,24.0,309.0,252.0,19.0,21.0,32.0,32.0,7.0,10.0,10.0,5.0,14,13.0,14.0,0.0,0.0,94.0,53.0,36.0,31.0,0.0,0.0,646.0,683.0,3155.0,2719.0,419.0,404.0,230.0,217.0,14.0,13.0,28.0,24.0,69.0,106.0,572.0,1087.0,26348.0,23852.0,26.0,17.0,0.0,1.0,255.0,102.0,585.0,545.0,38.0,22.0,2660.0,2256.0,35.0,11.0,79.0,50.0,84.0,77.0,198.0,206.0,5815.0,4975.0,20.0,24.0
2018,BYU,249.0,237.0,9.0,14.0,20.0,24.0,10.0,9.0,9.0,10.0,13,7.0,9.0,0.0,2.0,163.0,111.0,20.0,39.0,0.0,0.0,352.0,648.0,2753.0,2517.0,373.0,429.0,236.0,259.0,9.0,6.0,18.0,13.0,74.0,79.0,633.0,653.0,23487.0,23041.0,24.0,19.0,0.0,0.0,158.0,78.0,482.0,463.0,27.0,22.0,1993.0,1708.0,21.0,29.0,48.0,83.0,62.0,71.0,168.0,191.0,4746.0,4225.0,17.0,18.0,249.0,237.0,9.0,14.0,20.0,24.0,10.0,9.0,9.0,10.0,13,7.0,9.0,0.0,2.0,163.0,111.0,20.0,39.0,0.0,0.0,352.0,648.0,2753.0,2517.0,373.0,429.0,236.0,259.0,9.0,6.0,18.0,13.0,74.0,79.0,633.0,653.0,23487.0,23041.0,24.0,19.0,0.0,0.0,158.0,78.0,482.0,463.0,27.0,22.0,1993.0,1708.0,21.0,29.0,48.0,83.0,62.0,71.0,168.0,191.0,4746.0,4225.0,17.0,18.0
2018,California,248.0,226.0,16.0,12.0,24.0,21.0,9.0,7.0,7.0,11.0,13,20.0,21.0,5.0,2.0,301.0,438.0,35.0,24.0,1.0,0.0,813.0,510.0,2401.0,2280.0,413.0,387.0,250.0,223.0,21.0,20.0,16.0,13.0,73.0,80.0,658.0,729.0,23301.0,22979.0,28.0,25.0,0.0,0.0,166.0,206.0,482.0,505.0,13.0,13.0,2043.0,1831.0,25.0,35.0,63.0,75.0,68.0,69.0,191.0,198.0,4444.0,4111.0,29.0,28.0,248.0,226.0,16.0,12.0,24.0,21.0,9.0,7.0,7.0,11.0,13,20.0,21.0,5.0,2.0,301.0,438.0,35.0,24.0,1.0,0.0,813.0,510.0,2401.0,2280.0,413.0,387.0,250.0,223.0,21.0,20.0,16.0,13.0,73.0,80.0,658.0,729.0,23301.0,22979.0,28.0,25.0,0.0,0.0,166.0,206.0,482.0,505.0,13.0,13.0,2043.0,1831.0,25.0,35.0,63.0,75.0,68.0,69.0,191.0,198.0,4444.0,4111.0,29.0,28.0
2018,Central Michigan,181.0,247.0,6.0,7.0,13.0,16.0,9.0,12.0,8.0,8.0,12,18.0,10.0,0.0,2.0,138.0,150.0,38.0,26.0,0.0,0.0,702.0,516.0,1614.0,1808.0,362.0,306.0,176.0,174.0,10.0,18.0,10.0,11.0,99.0,71.0,858.0,699.0,19186.0,23727.0,17.0,47.0,0.0,1.0,61.0,394.0,446.0,554.0,8.0,28.0,1456.0,2484.0,28.0,36.0,78.0,92.0,55.0,70.0,189.0,178.0,3070.0,4292.0,27.0,22.0,181.0,247.0,6.0,7.0,13.0,16.0,9.0,12.0,8.0,8.0,12,18.0,10.0,0.0,2.0,138.0,150.0,38.0,26.0,0.0,0.0,702.0,516.0,1614.0,1808.0,362.0,306.0,176.0,174.0,10.0,18.0,10.0,11.0,99.0,71.0,858.0,699.0,19186.0,23727.0,17.0,47.0,0.0,1.0,61.0,394.0,446.0,554.0,8.0,28.0,1456.0,2484.0,28.0,36.0,78.0,92.0,55.0,70.0,189.0,178.0,3070.0,4292.0,27.0,22.0
2018,Charlotte,234.0,196.0,6.0,5.0,19.0,17.0,7.0,7.0,7.0,7.0,12,8.0,9.0,2.0,0.0,194.0,91.0,27.0,21.0,0.0,1.0,464.0,440.0,2146.0,2780.0,304.0,332.0,182.0,219.0,9.0,8.0,10.0,20.0,64.0,54.0,565.0,502.0,25206.0,17981.0,12.0,20.0,0.0,2.0,57.0,285.0,525.0,367.0,18.0,17.0,1924.0,1265.0,19.0,36.0,62.0,87.0,76.0,53.0,180.0,142.0,4070.0,4045.0,15.0,16.0,234.0,196.0,6.0,5.0,19.0,17.0,7.0,7.0,7.0,7.0,12,8.0,9.0,2.0,0.0,194.0,91.0,27.0,21.0,0.0,1.0,464.0,440.0,2146.0,2780.0,304.0,332.0,182.0,219.0,9.0,8.0,10.0,20.0,64.0,54.0,565.0,502.0,25206.0,17981.0,12.0,20.0,0.0,2.0,57.0,285.0,525.0,367.0,18.0,17.0,1924.0,1265.0,19.0,36.0,62.0,87.0,76.0,53.0,180.0,142.0,4070.0,4045.0,15.0,16.0
