season,team,conference,off_ppa_overall,off_ppa_passing,off_ppa_rushing,off_success_rate,off_explosiveness,def_ppa_overall,def_ppa_passing,def_ppa_rushing,def_success_rate,def_explosiveness
2018,Missouri,SEC,0.22,0.42,0.1,,,0.11,0.26,-0.03,,
2018,Navy,American Athletic,0.14,-0.03,0.18,,,0.27,0.47,0.13,,
2018,NC State,ACC,0.21,0.43,0.03,,,0.18,0.25,0.1,,
2018,Nebraska,Big Ten,0.22,0.19,0.26,,,0.16,0.12,0.23,,
2018,Nevada,Mountain West,0.15,0.23,0.07,,,0.09,0.19,0.0,,
2018,New Mexico,Mountain West,0.09,0.19,0.02,,,0.24,0.35,0.18,,
2018,New Mexico State,FBS Independents,0.06,0.04,0.12,,,0.2,0.26,0.17,,
2018,North Carolina,ACC,0.12,0.12,0.13,,,0.19,0.24,0.16,,
2018,Northern Illinois,Mid-American,0.05,-0.02,0.12,,,0.06,0.21,-0.08,,
2018,North Texas,Conference USA,0.18,0.32,0.03,,,0.09,0.15,0.02,,
2018,Northwestern,Big Ten,0.06,0.12,0.01,,,0.1,0.26,-0.05,,
2018,Notre Dame,FBS Independents,0.21,0.35,0.1,,,0.06,0.06,0.06,,
2018,Ohio,Mid-American,0.32,0.3,0.35,,,0.21,0.32,0.12,,
2018,Ohio State,Big Ten,0.28,0.49,0.08,,,0.11,0.12,0.14,,
2018,Oklahoma,Big 12,0.48,0.69,0.34,,,0.28,0.41,0.16,,
2018,Oklahoma State,Big 12,0.27,0.33,0.21,,,0.22,0.31,0.14,,
2018,Old Dominion,Conference USA,0.14,0.19,0.08,,,0.21,0.27,0.17,,
2018,Ole Miss,SEC,0.28,0.41,0.17,,,0.21,0.27,0.18,,
2018,Oregon,Pac-12,0.22,0.3,0.15,,,0.1,0.22,0.01,,
2018,Oregon State,Pac-12,0.13,0.21,0.07,,,0.39,0.42,0.39,,
2018,Penn State,Big Ten,0.18,0.11,0.26,,,0.06,0.02,0.11,,
2018,Pittsburgh,ACC,0.19,0.04,0.27,,,0.15,0.14,0.17,,
2018,Purdue,Big Ten,0.19,0.26,0.12,,,0.2,0.28,0.15,,
2018,Rice,Conference USA,0.05,0.14,-0.02,,,0.31,0.49,0.16,,
2018,Rutgers,Big Ten,-0.03,-0.12,0.06,,,0.17,0.21,0.16,,
2018,San Diego State,Mountain West,0.13,0.28,0.03,,,0.11,0.28,-0.04,,
2018,San José State,Mountain West,0.0,0.11,-0.15,,,0.22,0.36,0.13,,
2018,SMU,American Athletic,0.1,0.21,-0.01,,,0.17,0.28,0.11,,
2018,South Alabama,Sun Belt,0.07,0.22,-0.04,,,0.26,0.41,0.18,,
2018,South Carolina,SEC,0.2,0.36,0.04,,,0.21,0.26,0.17,,
2018,Southern Miss,Conference USA,0.07,0.18,-0.04,,,0.0,0.06,-0.05,,
2018,South Florida,American Athletic,0.19,0.2,0.21,,,0.2,0.24,0.19,,
2018,Stanford,Pac-12,0.2,0.4,-0.01,,,0.16,0.23,0.11,,
2018,Syracuse,ACC,0.18,0.18,0.19,,,0.14,0.16,0.12,,
2018,TCU,Big 12,0.05,0.15,-0.01,,,0.09,0.16,0.05,,
2018,Temple,American Athletic,0.18,0.26,0.11,,,0.1,0.07,0.12,,
2018,Tennessee,SEC,0.11,0.33,-0.04,,,0.17,0.25,0.12,,
2018,Texas,Big 12,0.22,0.34,0.11,,,0.17,0.29,0.06,,
2018,Texas A&M,SEC,0.22,0.27,0.18,,,0.16,0.29,0.0,,
2018,Texas State,Sun Belt,0.07,0.18,-0.01,,,0.1,0.15,0.06,,
2018,Texas Tech,Big 12,0.21,0.35,0.05,,,0.18,0.31,0.06,,
2018,Toledo,Mid-American,0.21,0.2,0.22,,,0.17,0.17,0.18,,
2018,Troy,Sun Belt,0.18,0.25,0.12,,,0.11,0.27,-0.01,,
2018,Tulane,American Athletic,0.13,0.2,0.1,,,0.12,0.19,0.06,,
2018,Tulsa,American Athletic,0.1,0.11,0.11,,,0.14,0.17,0.14,,
2018,UAB,Conference USA,0.2,0.35,0.12,,,-0.01,0.03,-0.03,,
2018,UCF,American Athletic,0.34,0.42,0.3,,,0.1,0.14,0.08,,
2018,UCLA,Pac-12,0.18,0.21,0.15,,,0.22,0.33,0.16,,
2018,UConn,American Athletic,0.13,0.12,0.14,,,0.5,0.7,0.41,,
2018,UL Monroe,Sun Belt,0.19,0.21,0.18,,,0.24,0.37,0.15,,
2018,UNLV,Mountain West,0.16,0.12,0.2,,,0.28,0.42,0.17,,
2018,USC,Pac-12,0.15,0.25,0.05,,,0.15,0.21,0.1,,
2018,Utah,Pac-12,0.14,0.22,0.09,,,0.02,0.09,-0.05,,
2018,Utah State,Mountain West,0.31,0.46,0.18,,,0.01,0.03,0.0,,
2018,UTEP,Conference USA,0.02,0.0,0.06,,,0.16,0.2,0.15,,
2018,UTSA,Conference USA,-0.04,-0.05,-0.03,,,0.23,0.47,0.04,,
2018,Vanderbilt,SEC,0.22,0.3,0.16,,,0.24,0.32,0.19,,
2018,Virginia,ACC,0.2,0.28,0.16,,,0.11,0.13,0.11,,
2018,Virginia Tech,ACC,0.18,0.24,0.12,,,0.22,0.29,0.19,,
2018,Wake Forest,ACC,0.16,0.22,0.14,,,0.2,0.22,0.18,,
2018,Washington,Pac-12,0.2,0.34,0.11,,,0.06,0.12,0.0,,
2018,Washington State,Pac-12,0.27,0.31,0.19,,,0.15,0.13,0.18,,
2018,Western Kentucky,Conference USA,0.09,0.12,0.06,,,0.13,0.19,0.11,,
2018,Western Michigan,Mid-American,0.19,0.24,0.16,,,0.25,0.42,0.13,,
2018,West Virginia,Big 12,0.29,0.46,0.08,,,0.18,0.32,0.07,,
2018,Wisconsin,Big Ten,0.25,0.21,0.29,,,0.09,0.16,0.06,,
2018,Wyoming,Mountain West,0.1,0.08,0.12,,,0.09,0.17,0.03,,
2019,Air Force,Mountain West,0.28,0.73,0.2,,,0.12,0.22,0.01,,
2019,Akron,Mid-American,-0.07,-0.02,-0.17,,,0.2,0.31,0.14,,
2019,Alabama,SEC,0.4,0.62,0.21,,,0.0,0.02,0.01,,
2019,App State,Sun Belt,0.27,0.37,0.2,,,0.07,0.12,0.02,,
