Weight.x,Converted_Arm,Converted_Hand,Height,Weight.y,Dash40,Shuttle20,Vertical,Position_Group
187,31.125,9.5,75,186,4.7,4.64,32.4,DB
191,32.25,8.625,72,174,4.43,3.9,35.9,DB
207,32.625,10.125,74,197,4.75,4.5,31.9,DB
189,31.5,9.25,72,171,4.74,4.21,32.5,DB
191,30.75,9.625,72,180,4.42,4.09,38.8,DB
204,30.75,9.625,72,191,4.76,4.47,34.5,DB
184,29.125,9.5,70,174,4.52,4.29,36,DB
207,31.25,9.625,72,202,4.58,4.5,36.1,DB
200,32.25,9.125,73,182,NA,4.12,30.1,DB
218,31.125,9.5,75,190,4.96,4.35,30.9,QB
249,33.75,9.875,79,246,NA,NA,NA,QB
217,30.875,8.5,75,193,4.77,4.25,34.6,QB
217,31,8.625,74,195,4.72,NA,29,QB
177,32,9.75,73,166,NA,4.19,30.5,WR
194,31.5,10,72,172,4.64,4.3,33.3,WR
209,30.25,7.625,71,185,4.66,4.3,33.9,RB
204,32.125,9,72,190,NA,NA,NA,RB
206,29.75,8.5,72,188,4.4,4.42,32.8,RB
225,31.875,9.75,74,216,4.62,4.32,31.6,RB
213,30.25,8.25,72,196,4.59,4.4,31,RB
250,32.625,9.5,77,209,4.73,4.15,34.4,TE
239,31.625,10.5,76,224,NA,NA,33.5,TE
233,31.875,9.5,72,219,NA,4.5,NA,TE
253,34.5,9.5,79,230,5,4.41,29.6,TE
312,34.375,10.25,77,282,5.81,4.86,25.4,OL
306,32.875,9.625,77,297,5.5,4.9,21.4,OL
321,34.375,9.25,78,331,5.09,4.9,30.4,OL
321,36.125,9.875,79,279,5.22,4.6,28.8,OL
307,33.125,10,77,283,5.64,5.13,23.4,OL
318,34.875,8.875,78,334,5.79,5.31,21.5,OL
315,33.875,10.5,79,256,5.03,4.3,27.2,OL
311,33.125,10.25,77,205,4.81,4.55,30.5,OL
317,33.125,9.75,76,310,5.59,4.99,20,OL
314,33.25,10,77,356,5.41,5.16,25.8,OL
314,31.875,9.625,75,253,5.25,4.8,26.3,OL
325,34.125,10,79,290,5.46,4.6,25.7,OL
297,33.5,9.25,76,265,5.11,4.78,32.5,DL
341,34,10.75,77,257,NA,4.44,29.3,DL
302,33.625,9.5,74,223,NA,4.4,29.5,DL
300,31.625,9.875,74,298,5.13,4.41,26.7,DL
310,34.625,10.375,76,287,5.38,5.35,24.4,DL
308,35.5,10.5,78,279,NA,5.07,22.8,DL
248,30.875,9.75,76,247,4.98,4.58,33.8,DL
268,32.75,9.625,75,253,4.75,4.3,39,DL
283,32.625,8.5,77,270,4.93,4.47,30.1,DL
267,32.5,10.25,75,181,4.58,4.26,35.1,DL
224,30.25,9.625,74,202,4.85,4.4,34.9,LB
239,32.375,10.125,75,209,4.51,4.33,32.1,LB
254,34,10.125,74,302,5.56,4.73,24.4,LB
238,30.5,9.375,75,205,4.88,4.44,37.4,LB
249,35,10.125,76,210,NA,4.4,33.2,LB
232,30.125,9.625,71,180,4.87,4.41,33.7,LB
250,34.625,10.25,79,335,5.99,5.57,21.1,LB
233,31.5,10,74,220,4.84,4.27,36.5,LB
197,30.75,8.75,73,177,4.71,4.19,33.5,DB
171,30.75,8.875,76,271,5.71,4.9,21,DB
174,28.875,8.875,67,153,4.36,4.14,32.5,DB
174,28.875,8.875,68,164,4.72,4.13,34.9,DB
180,31.875,9.25,72,170,4.65,4.3,37.1,DB
196,31.875,8.25,71,176,4.69,4.36,40.6,DB
194,30.875,9.375,72,180,4.57,4.27,40.4,DB
212,32.375,9.375,75,194,4.71,4.46,34.9,DB
209,31.375,9,75,188,4.57,4.46,32.2,DB
201,31.25,9.125,73,176,NA,4.19,34.9,DB
