Weight.x,Converted_Arm,Converted_Hand,Height,Weight.y,Dash40,Shuttle20,Vertical,Position_Group
210,32.375,9.25,71,196,4.46,4.18,30.9,RB
208,31,9.625,73,199,4.71,4.12,37.3,RB
240,31.625,9.25,73,226,NA,4.3,29.9,RB
215,32.625,9.125,73,200,4.85,4.57,30.1,RB
232,30.375,9.375,72,221,4.48,4.2,37,RB
214,32.75,9.25,70,192,4.55,4.28,39.1,RB
213,32,9,71,192,4.6,4.59,32.9,RB
189,32,9,73,166,4.68,4.5,31.1,WR
222,31.75,9.125,74,215,NA,NA,25.3,WR
219,33,9.625,68,160,4.58,4.38,30.3,WR
202,32.125,9.125,73,175,4.72,4.51,25.5,WR
191,32,8.875,71,173,4.48,4.3,27,WR
212,32,9.5,74,205,4.5,4.62,33.5,WR
173,28.875,8.875,68,160,4.56,4.54,36,WR
199,30,9.25,72,176,4.45,3.87,44.1,WR
186,30.75,9,72,180,4.72,4.65,27.6,WR
216,32,10.125,73,195,4.6,NA,NA,WR
196,31.25,9.5,71,186,4.36,4.07,40.7,WR
181,28,9.25,69,170,4.52,3.91,32.5,WR
181,28.75,8.25,75,245,5.52,NA,19,WR
218,33.375,9.375,74,305,NA,4.85,24.9,WR
257,32.5,10.125,78,220,4.7,4.37,34.8,TE
353,34.875,10.75,80,305,5.54,5.34,19.6,OL
304,33.875,11.375,78,277,5.21,4.72,26,OL
318,33.5,10,78,315,5.13,5.02,24.3,OL
334,35,11,76,370,5.97,4.84,22.8,OL
311,34,10.125,77,271,5.3,4.63,26.8,OL
304,32.75,9.25,75,281,5.31,4.95,24.4,DL
259,32.125,10,75,274,4.89,4.24,29.3,DL
250,33.375,9.875,77,241,4.89,4.75,28.7,DL
307,32,9.75,75,304,5.39,4.7,26.7,DL
277,34.25,9.75,78,249,4.89,4.5,31.6,DL
257,32,10.5,75,235,4.69,4.46,30.5,DL
272,35.5,10.25,77,247,5.08,4.94,34,DL
310,32.375,10.25,76,271,5.22,4.91,24.7,DL
316,33.25,9.625,74,290,5.48,5.28,20.5,DL
261,31.5,10.375,75,251,5.11,4.87,26,DL
258,32.625,10.5,75,212,4.62,4.25,33.5,DL
313,30.625,9.375,73,282,5.39,4.81,25.8,DL
304,34.375,10.125,74,267,5.07,4.75,25.4,DL
273,33,9.375,75,256,4.95,4.25,36.7,DL
305,33.125,10.625,75,310,5.12,4.61,30.3,DL
241,32.125,9.125,75,231,4.73,4.34,29.3,LB
243,33,9.5,75,225,4.83,4.44,31.7,LB
238,30.5,10,73,225,5.03,4.17,30.1,LB
235,32.375,10.25,74,220,4.73,4.4,30.5,LB
240,33,9.75,74,249,4.79,4.15,36.3,LB
223,32,9.375,72,194,4.64,4.25,34.3,LB
228,30.5,9.625,73,220,4.74,4.3,32.6,LB
214,33.375,9.25,72,204,4.48,4.23,34,DB
215,34,10,73,287,5.22,4.6,28.8,DB
216,32.125,9.375,72,198,4.44,4.34,31.6,DB
