,Name,Positions,Position_Group,HT_in,College_Weight,Hand_Size,Arm_Length,Wing_Length,Height,HS_Weight,is_outlier
93,Denver Kirkland,OL,BIGS,76.5,335.0,9.625,34.625,81.75,76,333,False
94,C.J. Conrad,TE,MIDS,76.5,249.0,9.25,31.0,74.125,77,225,False
95,Rashan Gary,DL,BIGS,76.375,277.0,9.625,34.125,81.875,76,287,False
96,Stephen Weatherly,DL,BIGS,76.375,267.0,10.25,34.5,83.25,76,195,False
97,Christian Hackenberg,QB,MIDS,76.375,223.0,9.0,32.0,77.75,76,212,False
98,Joshua Garnett,OL,BIGS,76.375,312.0,10.125,33.875,81.875,77,285,False
99,Toby Weathersby,OL,BIGS,76.375,317.0,10.25,33.25,80.625,77,295,False
100,Jake Hanson,OL,BIGS,76.375,303.0,9.25,32.75,78.0,76,288,False
101,James Williams,RB,MIDS,76.25,231.0,9.5,33.625,80.25,70,178,False
102,James Williams,RB,MIDS,69.5,197.0,9.25,30.375,73.0,70,178,False
103,Chase Claypool,WR,SKILLS,76.25,238.0,9.875,32.5,80.0,77,214,False
104,Rasheem Green,DL,BIGS,76.25,275.0,9.875,33.75,81.25,77,290,False
105,DeShone Kizer,QB,MIDS,76.25,233.0,9.88,33.13,77.88,77,216,False
106,Jason Strowbridge,DL,BIGS,76.25,275.0,10.125,32.375,80.375,76,247,False
107,Tanner Lee,QB,MIDS,76.25,218.0,10.0,32.5,76.25,75,191,False
108,Jessamen Dunker,OL,BIGS,76.25,318.0,10.0,33.5,80.38,78,315,False
109,Zachary Carter,DL,BIGS,76.25,282.0,10.25,33.5,80.375,77,251,False
110,Darius Latham,DL,BIGS,76.25,311.0,10.0,34.75,82.125,77,291,False
111,Julian Okwara,DL,BIGS,76.25,252.0,10.25,34.375,81.75,76,216,False
112,Phidarian Mathis,DL,BIGS,76.25,310.0,10.375,34.625,83.875,76,287,False
113,LaBryan Ray,DL,BIGS,76.25,283.0,8.5,32.625,79.25,77,270,True
114,Noah Fant,TE,MIDS,76.125,249.0,9.75,33.5,80.0,76,211,False
115,Jonathan Garvin,DL,BIGS,76.125,263.0,9.625,34.0,80.25,76,222,False
116,Daniel Helm,TE,MIDS,76.125,249.0,9.5,33.375,79.625,77,221,False
117,Saahdiq Charles,OL,BIGS,76.125,321.0,10.0,33.0,80.375,77,320,False
118,Luke Fortner,OL,BIGS,76.125,307.0,10.0,33.125,80.375,77,283,False
119,Andre James,OL,BIGS,76.125,299.0,10.0,32.0,80.25,77,278,False
120,Cameron Thomas,QB,MIDS,76.125,267.0,10.25,32.5,78.875,75,181,False
121,Jeff Driskel,QB,MIDS,76.0,234.0,9.75,33.0,77.75,76,224,False
122,Jeff Driskel,QB,MIDS,76.0,234.0,9.75,33.0,77.75,76,224,False
123,Juwan Johnson,WR,SKILLS,76.0,230.0,10.5,34.25,81.625,77,212,True
124,Steven Montez,QB,MIDS,76.0,231.0,9.375,32.75,76.875,77,194,False
125,Jace Sternberger,TE,MIDS,76.0,251.0,9.75,32.125,77.25,76,212,False
126,James Morgan,QB,MIDS,76.0,229.0,9.75,33.375,79.0,76,210,False
127,Josh Rosen,QB,MIDS,76.0,226.0,9.875,31.75,76.5,76,206,False
128,Jared Pinkney,TE,MIDS,76.0,257.0,10.5,32.875,79.0,77,224,False
129,Ryan Kelly,OL,BIGS,76.0,311.0,9.625,33.625,80.625,76,264,False
130,Grant Calcaterra,TE,MIDS,75.875,241.0,10.0,33.25,79.875,76,225,False
131,Matthew Butler,DL,BIGS,75.875,297.0,9.25,33.5,81.625,76,265,False
132,Jordan Elliott,DL,BIGS,75.875,302.0,10.25,32.375,79.0,76,301,False
133,Justin Shaffer,OL,BIGS,75.875,314.0,10.0,33.25,80.625,77,356,False
134,Isaac Seumalo,OL,BIGS,75.875,303.0,9.875,33.0,78.875,75,280,False
135,Alex Forsyth,OL,BIGS,75.875,303.0,10.25,32.75,81.375,76,297,False
136,Austin Bryant,DL,BIGS,75.875,271.0,9.625,34.625,81.375,76,249,False
137,Miles Boykin,WR,SKILLS,75.75,220.0,9.875,33.5,81.375,76,212,False
138,Binjimen Victor,WR,SKILLS,75.75,198.0,9.625,34.125,81.5,76,174,False
140,Drew Lock,QB,MIDS,75.75,228.0,9.0,32.5,77.125,76,204,False
141,Jordan Love,QB,MIDS,75.75,224.0,10.5,32.625,80.0,75,179,False
142,Jonathan Ledbetter,DL,BIGS,75.75,280.0,9.875,34.5,79.75,76,276,False
143,Cody Ford,OL,BIGS,75.75,329.0,9.75,34.0,82.5,76,314,False
144,Billy Price,DL,BIGS,75.75,305.0,9.75,32.0,75.25,76,305,False
145,Isaiah Simmons,DB,SKILLS,75.625,238.0,9.625,33.375,81.875,76,211,False
146,Joejuan Williams,DB,SKILLS,75.625,211.0,9.75,32.5,78.0,75,194,False
147,Lil'Jordan Humphrey,ATH,SKILLS,75.625,210.0,9.5,32.75,78.75,76,192,False
148,Da'Shawn Hand,DL,BIGS,75.625,297.0,9.75,34.375,80.625,76,262,False
149,Montravius Adams,DL,BIGS,75.625,304.0,9.25,32.75,79.0,75,281,False
150,James Lynch,DL,BIGS,75.625,289.0,9.875,31.875,76.875,77,282,False
151,Scott Quessenberry,OL,BIGS,75.625,310.0,9.75,31.75,76.875,76,276,False
152,Chris Slayton,DL,BIGS,75.625,307.0,10.625,33.5,78.375,76,256,False
153,Terry Beckner Jr.,DL,BIGS,75.625,296.0,8.625,32.25,77.0,76,298,True
154,Ross Pierschbacher,OL,BIGS,75.625,307.0,10.0,32.125,79.75,76,269,False
155,A'Shawn Robinson,DL,BIGS,75.625,307.0,10.5,34.5,83.5,77,304,False
156,K.J. Malone,OL,BIGS,75.625,303.0,9.25,33.5,81.0,76,290,False
157,Tee Higgins,WR,SKILLS,75.625,216.0,9.25,34.125,81.0,77,191,False
158,DeMarcus Walker,DL,BIGS,75.625,280.0,10.5,33.0,79.63,76,280,False
160,Brandon Smith,OL,BIGS,75.5,250.0,10.25,34.625,81.5,79,335,False
161,Robert Nkemdiche,DL,BIGS,75.5,294.0,10.75,33.875,80.625,77,265,False
162,Chuma Edoga,OL,BIGS,75.5,308.0,9.625,34.75,81.5,76,283,False
163,Jonah Jackson,OL,BIGS,75.5,306.0,10.5,33.5,77.875,77,290,False
164,Damien Mama,OL,BIGS,75.5,334.0,11.0,35.0,83.88,76,370,False
165,Fred Warner,LB,MIDS,75.375,236.0,9.75,32.0,77.0,75,205,False
166,Joshua Dobbs,QB,MIDS,75.375,216.0,9.25,32.63,78.25,75,190,False
167,Sam Darnold,QB,MIDS,75.375,221.0,9.375,31.0,74.0,76,209,False
168,Hassan Ridgeway,DL,BIGS,75.375,303.0,9.375,33.0,78.125,76,248,False
169,Andrew Brown,DL,BIGS,75.375,296.0,9.375,34.5,81.5,76,295,False
170,Adolphus Washington,DL,BIGS,75.375,301.0,9.875,34.5,80.875,76,251,False
171,Davon Godchaux,DL,BIGS,75.375,310.0,10.25,32.38,78.5,76,271,False
172,Christian Miller,LB,MIDS,75.375,247.0,9.75,35.125,82.25,76,212,False
173,Tre Flowers,DB,SKILLS,75.25,202.0,9.0,33.875,79.375,75,180,False
174,Kenny Pickett,QB,MIDS,75.25,217.0,8.5,30.875,73.75,75,193,False
175,Jack Coan,QB,MIDS,75.25,218.0,9.5,31.125,74.875,75,190,False
176,Lecitus Smith,OL,BIGS,75.25,314.0,9.625,31.875,78.75,75,253,False
177,Troy Dye,DB,SKILLS,75.25,231.0,9.375,32.25,78.0,75,211,False
178,Hendon Hooker,QB,MIDS,75.25,217.0,10.5,33.0,79.25,76,204,False
179,Tyquan Lewis,DL,BIGS,75.25,269.0,10.375,33.75,80.125,75,225,False
181,Brian Allen,OL,BIGS,73.125,298.0,9.25,32.375,76.75,73,287,False
182,Carter Coughlin,LB,MIDS,75.125,236.0,9.5,31.375,76.875,76,212,False
183,Kelly Bryant,QB,MIDS,75.125,229.0,9.5,32.25,78.0,76,204,False
184,Jauan Jennings,ATH,SKILLS,75.125,215.0,9.0,31.625,76.25,75,186,False
185,Ross Blacklock,DL,BIGS,75.125,290.0,9.75,32.375,78.75,75,326,False
187,Eddie Vanderdoes,DL,BIGS,75.125,305.0,10.63,33.13,78.75,75,310,False
188,Tashawn Manning,DL,BIGS,75.125,327.0,9.75,34.5,82.5,76,260,False
189,Cedric Johnson,DL,BIGS,75.0,260.0,9.875,33.5,79.375,74,298,False
190,Isaiah Johnson,WR,SKILLS,75.0,205.0,8.875,32.875,80.5,75,204,False
191,Isaiah Johnson,WR,SKILLS,74.125,208.0,8.75,33.0,79.125,75,204,False
192,Kevin King,DB,SKILLS,75.0,200.0,9.5,32.0,77.88,74,172,False
193,Ifeadi Odenigbo,DL,BIGS,75.0,258.0,10.5,32.63,79.13,75,212,False
194,Devin Asiasi,TE,MIDS,75.0,257.0,9.75,33.25,80.125,77,272,False
195,Otaro Alaka,LB,MIDS,75.0,239.0,9.75,33.0,80.875,75,210,False
196,Quinnen Williams,DL,BIGS,75.0,303.0,9.625,33.25,80.25,76,260,False
197,Derek Barnett,DL,BIGS,75.0,259.0,10.0,32.13,76.88,75,274,False
198,Ron Thompson,TE,MIDS,75.0,253.0,9.375,32.25,77.875,76,220,False
199,Byron Cowart,DL,BIGS,75.0,298.0,10.0,33.75,81.0,76,258,False
200,K'Lavon Chaisson,DL,BIGS,75.0,254.0,9.875,32.25,79.25,76,217,False
201,Tyler Jones,OL,BIGS,75.0,306.0,9.75,33.75,81.5,75,287,False
202,Dylan Cantrell,WR,SKILLS,74.875,226.0,9.25,31.375,76.375,74,202,False
203,Alex Anzalone,ATH,SKILLS,74.875,241.0,9.13,32.13,76.38,75,231,False
204,Qaadir Sheppard,TE,MIDS,74.875,261.0,10.0,32.75,78.75,75,239,False
205,Breeland Speaks,DL,BIGS,74.875,283.0,9.875,33.75,79.625,75,281,False
206,Trevon Hill,DL,BIGS,74.875,248.0,9.25,32.375,78.25,76,212,False
207,Javon Patterson,OL,BIGS,74.875,307.0,9.0,32.5,78.25,75,313,False
208,Cordel Iwuagwu,OL,BIGS,74.875,309.0,10.125,33.75,81.0,75,285,False
209,Rod Taylor,OL,BIGS,74.875,320.0,9.75,34.25,81.0,75,323,False
210,Tyrese Robinson,OL,BIGS,74.875,317.0,9.75,33.125,78.75,76,310,False
211,Joey Mbu,DL,BIGS,74.875,313.0,9.25,35.0,82.625,75,299,False
212,Kamal Martin,QB,MIDS,74.875,240.0,10.125,34.0,81.0,75,203,False
213,Joshua Frazier,DL,BIGS,74.875,321.0,10.0,34.25,79.625,76,336,False
214,Matthew Thomas,LB,MIDS,74.75,232.0,8.875,33.0,79.125,75,205,False
215,Alton Robinson,DL,BIGS,74.75,264.0,9.25,32.375,79.0,75,220,False
216,Ken Ekanem,LB,MIDS,74.75,257.0,10.5,32.0,77.0,75,235,False
217,Cesar Ruiz,OL,BIGS,74.75,307.0,11.0,33.125,79.625,75,321,False
218,Skyler Phillips,OL,BIGS,74.75,318.0,9.5,33.0,78.0,75,338,False
219,Tim Settle,DL,BIGS,74.75,329.0,9.125,33.0,78.75,75,339,False
220,Bryan Edwards,WR,SKILLS,74.75,212.0,9.5,32.25,78.625,75,209,False
221,Isaiah Wynn,OL,BIGS,74.75,313.0,8.5,33.375,78.875,74,274,True
222,Robert Davis,RB,MIDS,74.625,219.0,9.63,33.0,78.5,68,160,False
223,Derrick Henry,RB,MIDS,74.625,247.0,8.75,33.0,80.75,75,243,False
224,Peter Kalambayi,LB,MIDS,74.625,252.0,9.0,33.5,79.75,75,238,False
225,Jordan Brailford,DL,BIGS,74.625,252.0,9.125,32.5,77.75,75,220,False
226,Cayleb Jones,WR,SKILLS,74.625,209.0,9.25,32.75,80.125,74,195,False
227,Sewo Olonilua,ATH,SKILLS,74.625,232.0,10.0,32.125,78.125,75,219,False
228,Solomon Thomas,DL,BIGS,74.625,273.0,9.38,33.0,78.88,75,256,False
229,Jordan Jenkins,DL,BIGS,74.625,259.0,11.25,34.25,83.375,75,245,True
231,Kingsley Keke,DL,BIGS,74.625,288.0,9.75,34.5,82.5,75,290,False
232,McTelvin Agim,DL,BIGS,74.625,309.0,10.125,33.5,80.25,75,268,False
233,Trenton Thompson,DL,BIGS,74.625,288.0,10.625,34.0,81.0,76,311,False
234,Vincent Taylor,DL,BIGS,74.625,304.0,10.13,34.38,81.25,74,267,False
235,Caleb Brantley,DL,BIGS,74.625,307.0,9.75,32.0,77.13,75,304,False
236,Daniel Wise,DL,BIGS,74.625,281.0,10.0,33.0,80.5,74,277,False
237,Jaleel Johnson,OL,BIGS,74.625,316.0,9.63,33.25,80.63,74,290,False
238,Michael Onwenu,OL,BIGS,74.625,344.0,10.5,34.375,82.0,75,370,False
239,Drake Jackson,OL,BIGS,74.625,254.0,10.125,34.0,82.625,74,302,False
240,Seth Russell,QB,MIDS,74.625,213.0,9.63,32.25,77.5,75,195,False
241,Seth Russell,QB,MIDS,74.625,213.0,9.63,32.25,77.5,75,195,False
242,Kenneth Murray,LB,MIDS,74.5,241.0,9.5,32.75,80.0,74,215,False
243,Kenny Lawler,WR,SKILLS,74.5,203.0,10.5,33.375,79.375,75,175,True
244,Deshaun Watson,QB,MIDS,74.5,221.0,9.75,33.0,79.88,75,190,False
245,Will Grier,QB,MIDS,74.5,217.0,9.375,31.5,75.125,75,181,False
246,Nate Landman,LB,MIDS,74.5,238.0,9.375,30.5,76.0,75,205,False
247,Brian Lewerke,QB,MIDS,74.5,213.0,10.625,32.125,75.5,75,192,False
248,Justin Jones,DL,BIGS,74.5,309.0,10.0,33.5,81.0,75,258,False
249,Grant Delpit,DB,SKILLS,74.5,213.0,9.125,30.375,74.5,76,189,False
250,Tyree Johnson,DL,BIGS,74.5,248.0,9.75,30.875,76.25,76,247,False
251,Montae Nicholson,ATH,SKILLS,74.375,212.0,9.5,33.38,78.0,74,210,False
252,Tyrie Cleveland,WR,SKILLS,74.375,209.0,9.125,32.875,78.0,75,190,False
253,A.C. Leonard,TE,MIDS,74.375,252.0,9.25,33.0,78.125,75,232,False
254,Geno Smith,DB,SKILLS,74.375,218.0,9.25,32.5,76.375,71,175,False
256,Matt Jones,RB,MIDS,74.375,231.0,8.625,32.0,77.0,75,210,False
257,Zack Baun,QB,MIDS,74.375,238.0,9.625,32.75,78.25,74,204,False
258,Jarrett Stidham,QB,MIDS,74.375,218.0,9.125,32.0,76.5,75,185,False
259,Darryl Williams,OL,BIGS,74.375,304.0,9.75,32.125,77.875,76,312,False
260,D'Andre Walker,DL,BIGS,74.375,251.0,9.875,34.375,81.75,75,213,False
261,Malik Jefferson,LB,MIDS,74.25,236.0,9.625,32.0,74.25,75,220,False
262,Cameron Dantzler,ATH,SKILLS,74.25,188.0,9.0,30.625,72.375,74,165,False
263,Skai Moore,LB,MIDS,74.25,226.0,9.375,32.0,78.375,75,195,False
264,Hunter Bryant,TE,MIDS,74.25,248.0,10.375,32.0,76.5,75,238,False
265,Kentavius Street,DL,BIGS,74.25,280.0,10.25,32.875,78.75,74,265,False
266,L.J. Collier,DL,BIGS,74.25,283.0,10.0,34.0,81.875,75,227,False
267,Aaron Hansford,ATH,SKILLS,74.25,239.0,10.125,32.375,78.5,75,209,False
268,Lamar Jackson,ATH,SKILLS,74.25,216.0,9.5,33.125,77.625,75,209,False
269,Lamar Jackson,QB,MIDS,74.25,216.0,9.5,33.125,77.625,75,202,False
270,Lamar Jackson,ATH,SKILLS,74.0,208.0,9.5,32.25,77.875,75,209,False
271,Lamar Jackson,QB,MIDS,74.0,208.0,9.5,32.25,77.875,75,202,False
272,Kendell Beckwith,ATH,SKILLS,74.25,243.0,9.5,33.0,79.13,75,225,False
273,Markquese Bell,ATH,SKILLS,74.125,212.0,9.375,32.375,76.125,75,194,False
274,Bubba Bolden,DB,SKILLS,74.125,209.0,9.0,31.375,76.875,75,188,False
275,James Sample,LB,MIDS,74.125,209.0,9.5,32.0,76.125,75,195,False
276,Davante Davis,DB,SKILLS,74.125,202.0,9.75,31.375,76.5,75,185,False
277,Evan Weaver,DL,BIGS,74.125,237.0,9.875,31.625,77.125,74,240,False
278,Haskell Garrett,DL,BIGS,74.125,300.0,9.875,31.625,78.125,74,298,False
279,Teddy Bridgewater,QB,MIDS,74.125,214.0,9.25,33.0,78.625,74,179,False
280,Teddy Bridgewater,QB,MIDS,74.125,214.0,9.25,33.0,78.625,74,179,False
282,Cameron Smith,LB,MIDS,74.0,238.0,10.375,32.375,77.0,74,236,False
283,Cameron Smith,LB,MIDS,74.0,238.0,10.375,32.375,77.0,74,207,False
284,Chris Warren III,RB,MIDS,74.0,247.0,10.0,32.0,77.0,74,235,False
285,Carlos Davis,DL,BIGS,74.0,313.0,9.625,32.0,76.5,74,270,False
286,Chauncey Rivers,DL,BIGS,74.0,262.0,9.75,32.875,80.75,75,252,False
287,Rashard Lawrence,DL,BIGS,74.0,308.0,11.0,34.125,80.375,75,309,False
288,Kevin Toliver II,DB,SKILLS,74.0,192.0,9.375,30.125,73.375,74,193,False
