,Name,Positions,Position_Group,HT_in,College_Weight,Hand_Size,Arm_Length,Wing_Length,Height,HS_Weight,is_outlier
334,Rodney Adams,WR,SKILLS,73.25,189.0,9.0,32.0,75.0,73,166,False
335,Saquan Hampton,DB,SKILLS,73.25,206.0,8.625,31.625,75.0,73,180,False
336,Quartney Davis,WR,SKILLS,73.25,201.0,9.5,31.375,75.75,75,181,False
337,Maurice Alexander,QB,MIDS,73.25,220.0,8.875,32.625,77.5,71,160,False
338,Riley Ridley,WR,SKILLS,73.25,199.0,10.25,32.625,78.25,74,195,False
339,Keon Hatcher,WR,SKILLS,73.25,212.0,9.5,32.0,76.13,74,205,False
340,Tanner Vallejo,LB,MIDS,73.25,228.0,9.63,30.5,73.25,73,220,False
341,J.T. Barrett,QB,MIDS,73.25,224.0,9.875,32.0,76.0,73,205,False
342,Reggie Ragland,LB,MIDS,73.25,247.0,9.875,32.0,77.75,75,245,False
343,A.J. Terrell,DB,SKILLS,73.125,195.0,9.0,31.25,75.625,74,179,False
344,Jerome Baker,LB,MIDS,73.125,229.0,10.375,31.5,76.125,73,202,False
345,Darreus Rogers,WR,SKILLS,73.125,216.0,10.13,32.0,76.75,73,195,False
346,Ryan Shazier,LB,MIDS,73.125,237.0,10.0,32.375,78.625,74,205,False
347,Darius Slayton,DB,SKILLS,73.0,190.0,10.0,32.75,79.0,73,180,False
348,Jerry Jeudy,WR,SKILLS,73.0,193.0,9.5,32.125,76.0,73,180,False
349,Rayshawn Jenkins,DB,SKILLS,73.0,214.0,9.63,32.75,77.38,73,190,False
350,Carlton Davis,DB,SKILLS,73.0,206.0,8.875,32.75,79.375,73,182,False
351,Jalen Hurts,QB,MIDS,73.0,222.0,9.75,31.75,77.625,74,208,False
352,Kenny Young,LB,MIDS,73.0,236.0,9.5,32.375,78.125,73,210,False
354,Khalil Davis,DL,BIGS,73.0,308.0,9.75,31.5,74.75,74,260,False
355,Christian Sam,LB,MIDS,73.0,244.0,10.0,31.5,76.75,73,206,False
356,Daylon Mack,DL,BIGS,73.0,336.0,10.25,31.25,76.5,73,330,False
357,Greg Gaines,DL,BIGS,73.0,312.0,9.625,31.25,75.875,73,297,False
358,Derrick Nnadi,DL,BIGS,73.0,317.0,9.875,33.5,79.75,73,299,False
359,Clay Johnston,LB,MIDS,73.0,227.0,9.0,30.5,73.25,74,200,False
360,Kalia Davis,DL,BIGS,73.0,302.0,9.5,33.625,80.0,74,223,False
361,Jonathan Crawford,ATH,SKILLS,73.0,205.0,9.25,31.5,76.5,74,171,False
362,Quenton Meeks,DB,SKILLS,73.0,209.0,10.25,31.75,76.25,73,185,False
363,Deionte Thompson,DB,SKILLS,73.0,195.0,9.875,32.125,76.75,73,175,False
364,Nile Lawrence-Stample,DL,BIGS,73.0,320.0,9.875,32.75,79.5,73,297,False
365,Cassanova McKinzy,LB,MIDS,73.0,248.0,9.875,31.25,77.125,74,225,False
366,Roquan Smith,LB,MIDS,72.875,236.0,10.0,32.0,77.0,74,204,False
367,Nick Harris,OL,BIGS,72.875,302.0,9.75,32.125,77.5,73,272,False
368,Terrel Bernard,LB,MIDS,72.875,224.0,9.625,30.25,73.0,74,202,False
369,Saivion Smith,DB,SKILLS,72.875,199.0,9.5,33.25,78.875,73,183,False
370,Delano Hill,DB,SKILLS,72.75,216.0,9.38,32.13,77.5,72,198,False
371,Darron Lee,DB,SKILLS,72.75,232.0,9.75,33.25,79.25,74,205,False
373,Brandon Wilds,RB,MIDS,72.75,220.0,10.25,32.0,77.25,73,220,False
374,Kwon Alexander,LB,MIDS,72.75,227.0,9.25,30.25,74.625,74,215,False
375,Travin Dural,WR,SKILLS,72.75,202.0,9.0,32.0,75.0,73,175,False
376,Alijah Holder,DB,SKILLS,72.75,191.0,9.5,32.5,77.25,73,165,False
377,Tony Brown,DB,SKILLS,72.75,198.0,9.25,31.5,76.0,72,196,False
378,Tony Brown,WR,SKILLS,72.75,198.0,9.25,31.5,76.0,73,185,False
379,Tony Brown,DB,SKILLS,71.875,199.0,9.25,31.5,74.75,72,196,False
380,Tony Brown,WR,SKILLS,71.875,199.0,9.25,31.5,74.75,73,185,False
381,Dakota Allen,LB,MIDS,72.75,232.0,9.25,31.25,74.0,73,227,False
382,Christian Campbell,ATH,SKILLS,72.75,195.0,8.75,33.5,79.0,73,189,False
383,Marcell Harris,DB,SKILLS,72.75,216.0,8.625,32.0,75.5,73,209,False
384,Tariq Castro-Fields,DB,SKILLS,72.625,197.0,8.75,30.75,76.0,73,177,False
385,Eli Apple,DB,SKILLS,72.625,199.0,9.375,31.375,76.375,72,185,False
386,Kenyan Drake,RB,MIDS,72.625,210.0,9.0,31.0,75.25,73,195,False
387,Jordan Miller,DB,SKILLS,72.625,186.0,9.625,32.875,76.5,73,161,False
388,Melvin Gordon,ATH,SKILLS,72.625,215.0,9.75,32.375,76.375,72,182,False
389,Iman Marshall,DB,SKILLS,72.625,207.0,9.5,30.375,73.5,73,195,False
390,Charleston Rambo,WR,SKILLS,72.625,177.0,9.75,32.0,76.5,73,166,False
391,Dorian O'Daniel,LB,MIDS,72.625,223.0,9.0,31.125,75.0,73,201,False
392,Jeremy Hill,RB,MIDS,72.625,233.0,10.375,32.625,77.75,73,224,False
393,Steve Longa,ATH,SKILLS,72.625,241.0,9.75,32.0,77.5,72,210,False
394,Amarlo Herrera,LB,MIDS,72.625,244.0,9.625,32.75,78.375,73,224,False
395,Bryson Allen-Williams,LB,MIDS,72.625,236.0,9.75,31.5,77.625,73,230,False
396,Sheldon Day,DL,BIGS,72.625,293.0,9.625,32.625,79.0,74,280,False
397,Elijah Qualls,DL,BIGS,72.625,313.0,9.38,30.63,74.0,73,282,False
398,Jaylinn Hawkins,WR,SKILLS,72.625,208.0,9.5,31.75,77.125,71,180,False
399,Justin Davis,RB,MIDS,72.625,208.0,9.63,31.0,73.75,73,199,False
400,Justin Reid,DB,SKILLS,72.5,207.0,9.75,31.625,77.5,74,193,False
401,Calvin Ridley,WR,SKILLS,72.5,189.0,9.125,31.625,75.75,73,169,False
402,C.J. Prosise,DB,SKILLS,72.5,220.0,8.5,32.125,75.75,73,190,False
403,A.J. Brown,WR,SKILLS,72.5,226.0,9.75,32.875,78.0,74,218,False
404,Leonard Fournette,RB,MIDS,72.5,240.0,9.25,31.63,75.25,73,226,False
405,Adrian Amos,DB,SKILLS,72.5,218.0,9.125,32.25,76.375,71,190,False
406,Wayne Gallman,ATH,SKILLS,72.5,215.0,9.13,32.63,77.0,73,200,False
407,Keanu Neal,DB,SKILLS,72.5,211.0,10.625,32.75,78.375,73,203,True
408,Matt Milano,DB,SKILLS,72.5,223.0,9.38,32.0,75.63,72,194,False
409,Shaquille Quarterman,LB,MIDS,72.5,234.0,9.125,31.625,75.125,73,239,False
410,Freddie Stevenson,LB,MIDS,72.5,234.0,9.63,32.75,75.75,73,230,False
411,Shaquem Griffin,DB,SKILLS,72.375,227.0,9.0,32.125,66.5,73,183,False
412,Brendan Langley,ATH,SKILLS,72.375,201.0,9.5,32.0,75.75,73,181,False
413,Josh Jackson,DB,SKILLS,72.375,196.0,9.375,31.125,74.25,71,175,False
414,Xavier McKinney,DB,SKILLS,72.375,201.0,8.625,30.875,75.5,73,196,False
415,Henre' Toliver,DB,SKILLS,72.375,188.0,9.0,30.875,73.25,72,180,False
416,Deon Bush,DB,SKILLS,72.375,199.0,9.25,30.875,75.125,73,177,False
417,Jalen Elliott,ATH,SKILLS,72.375,205.0,9.125,31.75,76.625,73,181,False
418,Rodney Anderson,RB,MIDS,72.375,224.0,9.75,30.75,75.375,73,205,False
419,Jeremy Cash,DB,SKILLS,72.375,212.0,10.0,32.375,78.75,73,185,False
420,Trey DePriest,LB,MIDS,72.375,254.0,9.0,31.625,75.5,73,225,False
421,Isaiah Davis,LB,MIDS,72.25,218.0,10.25,31.125,74.875,74,213,False
422,Marlon Humphrey,DB,SKILLS,72.25,197.0,8.75,32.25,76.25,72,179,False
423,Freddie Swain,WR,SKILLS,72.25,197.0,9.0,30.625,74.375,72,185,False
424,Patrick Queen,RB,MIDS,72.25,229.0,10.0,31.625,76.875,73,209,False
425,Ashton Lampkin,DB,SKILLS,72.25,189.0,9.38,31.0,74.0,71,175,False
426,Raphael Kirby,LB,MIDS,72.25,236.0,9.875,31.0,77.5,73,215,False
427,Trae Waynes,DB,SKILLS,72.125,186.0,8.25,31.0,75.0,71,158,False
428,Nelson Agholor,WR,SKILLS,72.125,198.0,9.25,32.25,77.375,73,180,False
429,Minkah Fitzpatrick,DB,SKILLS,72.125,204.0,9.375,31.25,75.125,73,194,False
430,Braylon Sanders,ATH,SKILLS,72.125,194.0,10.0,31.5,74.75,72,172,False
431,Alex Carter,ATH,SKILLS,72.125,196.0,9.125,32.125,79.625,73,190,False
432,Trace McSorley,ATH,SKILLS,72.125,202.0,9.125,31.0,72.375,73,182,False
433,Baylon Spector,LB,MIDS,72.125,233.0,10.0,31.5,75.625,74,220,False
434,Shaq Thompson,DB,SKILLS,72.125,228.0,9.5,33.0,79.0,74,210,False
435,Markus Bailey,LB,MIDS,72.125,235.0,9.375,31.5,76.25,73,215,False
436,Jaren Hall,QB,MIDS,72.125,207.0,9.5,29.75,71.875,72,181,False
437,Kolby Listenbee,ATH,SKILLS,72.0,197.0,8.25,31.375,76.75,72,166,False
438,Saquon Barkley,RB,MIDS,72.0,233.0,9.5,31.375,74.25,72,208,False
439,Devin White,ATH,SKILLS,72.0,237.0,9.75,32.125,75.875,73,260,False
440,Sheldrick Redwine,DB,SKILLS,72.0,196.0,9.375,31.75,77.25,73,183,False
441,Stefon Diggs,ATH,SKILLS,72.0,195.0,10.0,31.25,75.75,72,185,False
442,Landon Collins,DB,SKILLS,72.0,228.0,9.375,31.5,78.0,72,210,False
443,P.J. Williams,DB,SKILLS,72.0,194.0,8.625,31.0,76.125,72,180,False
444,Deadrin Senat,DL,BIGS,72.0,314.0,9.75,31.625,76.25,73,311,False
445,Tua Tagovailoa,QB,MIDS,72.0,217.0,10.0,30.5,75.25,73,215,False
446,Cameron Brown,LB,MIDS,72.0,199.0,9.0,31.0,75.875,77,199,False
447,Ben Boulware,LB,MIDS,72.0,238.0,10.0,30.5,74.75,73,225,False
448,Mike Davis,RB,MIDS,72.0,197.0,10.0,32.75,77.375,70,200,False
449,Mike Davis,RB,MIDS,69.125,217.0,9.375,30.25,72.25,70,200,False
450,D'Eriq King,ATH,SKILLS,68.75,196.0,9.25,28.875,71.125,69,162,False
453,Stacy Coley,WR,SKILLS,71.875,195.0,9.75,32.25,75.88,73,173,False
454,Artie Burns,DB,SKILLS,71.875,193.0,9.5,33.25,78.0,72,183,False
455,Jaylon Johnson,DB,SKILLS,71.875,193.0,9.375,31.375,74.375,73,181,False
456,K.J. Hill,WR,SKILLS,71.875,196.0,9.25,29.125,72.5,73,194,False
457,James Quick,WR,SKILLS,71.875,186.0,9.0,30.75,74.88,72,180,False
458,Ventrell Miller,LB,MIDS,71.875,232.0,9.125,32.5,78.875,72,227,False
459,Ezekiel Elliott,RB,MIDS,71.75,225.0,10.25,31.25,75.375,72,205,False
460,Malik Cunningham,ATH,SKILLS,71.75,192.0,9.5,31.375,75.375,72,187,False
461,Jamal Adams,DB,SKILLS,71.75,214.0,9.25,33.38,75.5,72,204,False
462,Chris Carson,RB,MIDS,71.75,218.0,9.63,33.25,79.38,73,190,False
463,Elijah Shumate,DB,SKILLS,71.75,216.0,9.75,31.125,75.5,72,205,False
464,Julian Blackmon,ATH,SKILLS,71.75,187.0,9.0,31.0,75.25,72,167,False
465,Taylor Rapp,DB,SKILLS,71.75,208.0,9.0,30.75,72.875,72,199,False
466,Shaun Dion Hamilton,LB,MIDS,71.75,228.0,10.25,31.0,76.5,71,234,False
467,Marcus Maye,DB,SKILLS,71.75,210.0,9.13,32.5,77.25,72,195,False
468,Gerod Holliman,DB,SKILLS,71.75,218.0,9.5,32.0,76.0,72,188,False
469,Kristian Fulton,DB,SKILLS,71.625,197.0,9.125,30.625,71.875,72,172,False
470,Andre Smith,LB,MIDS,71.625,237.0,10.0,33.125,78.875,72,215,False
471,De'Jon Harris,LB,MIDS,71.625,234.0,9.375,31.375,75.625,72,238,False
472,Darrel Williams,RB,MIDS,71.625,225.0,9.375,31.0,73.125,71,203,False
473,Shadrach Thornton,RB,MIDS,71.625,217.0,9.75,30.0,73.375,72,200,False
474,Abram Smith,RB,MIDS,71.625,213.0,8.25,30.25,72.375,72,196,True
475,Kendall Joseph,LB,MIDS,71.625,233.0,9.75,31.625,75.0,72,227,False
476,Josh Thompson,DB,SKILLS,71.5,194.0,9.375,30.875,74.875,72,180,False
477,Kris Boyd,DB,SKILLS,71.5,201.0,9.0,30.75,74.375,72,181,False
478,Royce Freeman,RB,MIDS,71.5,229.0,9.5,32.0,76.75,72,227,False
479,Keith Marshall,RB,MIDS,71.375,219.0,9.375,31.625,76.625,71,190,False
480,Terrell Burgess,DB,SKILLS,71.375,202.0,9.25,29.5,71.375,72,178,False
481,Marlon Mack,RB,MIDS,71.375,213.0,9.0,32.0,76.63,71,192,False
482,Rashad Greene,WR,SKILLS,71.375,182.0,9.0,31.625,75.625,72,170,False
483,Terry Godwin,ATH,SKILLS,71.375,184.0,9.375,30.0,73.875,72,170,False
484,Kendall Sheffield,DB,SKILLS,71.375,193.0,9.25,31.5,75.625,72,181,False
485,Deshaun Davis,LB,MIDS,71.375,234.0,10.0,31.25,75.875,72,230,False
486,Elijah Hood,RB,MIDS,71.375,232.0,9.38,30.38,74.13,72,221,False
487,Anthony Brown,QB,MIDS,71.25,192.0,8.25,31.75,75.5,73,194,True
488,Ty Chandler,RB,MIDS,71.25,204.0,9.0,32.125,75.625,72,190,False
489,Odell Beckham Jr.,ATH,SKILLS,71.25,198.0,10.0,32.75,78.125,71,179,False
490,Tre'Davious White,DB,SKILLS,71.25,192.0,9.13,32.13,75.75,71,170,False
491,Chase Lucas,RB,MIDS,71.25,180.0,9.25,31.875,74.5,72,170,False
492,Stephen Roberts,DB,SKILLS,71.25,186.0,8.875,31.375,73.25,72,180,False
493,Chris Miller,DB,SKILLS,71.25,190.0,9.0,29.875,72.625,71,173,False
494,Chris Miller,DB,SKILLS,71.25,190.0,9.0,29.875,72.625,72,180,False
495,Anthony Averett,ATH,SKILLS,71.125,183.0,8.5,30.25,71.625,72,170,False
496,Harrison Hand,DB,SKILLS,71.125,197.0,9.125,31.75,76.375,72,183,False
498,Dexter Williams,RB,MIDS,71.125,212.0,9.625,32.25,76.875,72,195,False
499,Connor Heyward,WR,SKILLS,71.125,233.0,9.5,31.875,76.25,72,219,False
500,Nick Brossette,RB,MIDS,71.125,209.0,8.625,30.0,72.875,72,211,False
501,Brandon Jones,DB,SKILLS,71.125,198.0,8.75,30.125,74.5,72,193,False
502,Michael Pinckney,LB,MIDS,71.125,235.0,10.0,32.375,77.25,72,213,False
503,KeiVarae Russell,RB,MIDS,71.125,192.0,10.0,31.625,75.875,72,175,False
504,Pharoh Cooper,ATH,SKILLS,71.125,203.0,9.125,32.25,75.0,71,181,False
505,Vinnie Sunseri,LB,MIDS,71.125,210.0,10.0,30.0,73.75,71,202,False
506,Zedrick Woods,LB,MIDS,71.0,205.0,9.125,31.625,75.125,71,196,False
507,Damarri Mathis,DB,SKILLS,71.0,196.0,8.25,31.875,77.5,71,176,False
508,Malcolm Rodriguez,DB,SKILLS,71.0,232.0,9.625,30.125,73.125,71,180,False
509,Deandre Baker,DB,SKILLS,71.0,193.0,9.0,32.0,77.125,71,167,False
510,Rashad Fenton,DB,SKILLS,71.0,193.0,8.75,30.375,74.0,72,171,False
511,Khaleke Hudson,DB,SKILLS,71.0,224.0,10.0,29.375,72.625,71,200,False
513,Darius West,DB,SKILLS,70.875,208.0,9.125,31.375,75.75,70,183,False
514,Xavier Crawford,DB,SKILLS,70.875,187.0,9.0,29.125,71.875,72,167,False
515,D.J. White,DB,SKILLS,70.875,193.0,9.25,31.5,76.875,71,175,False
516,Nick Chubb,RB,MIDS,70.875,227.0,9.625,32.0,73.625,71,217,False
517,M.J. Stewart,ATH,SKILLS,70.875,200.0,9.25,31.25,75.375,71,191,False
518,Salvon Ahmed,RB,MIDS,70.875,197.0,8.75,29.25,71.625,72,191,False
519,David Cobb,RB,MIDS,70.875,229.0,9.375,31.625,76.375,71,208,False
520,Zack Sanchez,DB,SKILLS,70.875,185.0,9.375,31.375,73.875,72,165,False
521,Trestan Ebner,WR,SKILLS,70.75,206.0,8.5,29.75,72.5,72,188,False
522,Shelton Gibson,WR,SKILLS,70.75,191.0,8.88,32.0,75.63,71,173,False
524,Julian Love,ATH,SKILLS,70.75,195.0,9.0,31.75,75.375,71,175,False
525,Byron Murphy,DB,SKILLS,70.75,190.0,8.875,30.125,71.375,71,168,False
526,Lamical Perine,RB,MIDS,70.75,216.0,10.25,31.625,76.375,71,210,False
527,Damon Webb,DB,SKILLS,70.75,209.0,8.125,31.25,72.5,70,179,True
528,Lavon Coleman,RB,MIDS,70.75,215.0,9.25,30.5,73.25,70,205,False
529,Curtis Samuel,ATH,SKILLS,70.625,196.0,9.5,31.25,74.88,71,186,False
530,Ronald Darby,DB,SKILLS,70.625,193.0,8.625,31.375,74.625,71,176,False
531,Antonio Callaway,WR,SKILLS,70.625,200.0,9.5,31.5,73.625,71,179,False
532,David Long,ATH,SKILLS,70.625,196.0,9.625,30.875,76.125,70,176,False
533,David Long,LB,MIDS,70.625,196.0,9.625,30.875,76.125,71,205,False
534,Duke Dawson,DB,SKILLS,70.625,197.0,9.0,31.5,74.5,71,197,False
535,Jalen Reagor,WR,SKILLS,70.625,206.0,9.5,31.375,74.375,71,183,False
536,Jordan Scarlett,RB,MIDS,70.625,208.0,8.875,30.375,72.375,71,207,False
537,Miles Sanders,RB,MIDS,70.625,211.0,9.25,30.625,74.625,71,200,False
538,Sony Michel,RB,MIDS,70.625,214.0,9.125,31.25,73.625,71,194,False
539,De'Vante Harris,DB,SKILLS,70.625,176.0,8.125,30.625,72.875,70,160,True
540,Kennedy Brooks,RB,MIDS,70.625,209.0,7.625,30.25,74.75,71,185,True
541,Alexander Mattison,RB,MIDS,70.625,221.0,9.125,31.0,76.25,71,193,False
542,Speedy Noil,ATH,SKILLS,70.625,199.0,9.25,30.0,73.88,72,176,False
543,Corey Coleman,ATH,SKILLS,70.625,194.0,9.0,30.25,72.875,71,175,False
544,Donte Jackson,ATH,SKILLS,70.5,178.0,8.75,29.5,71.625,71,170,False
545,Devin Duvernay,WR,SKILLS,70.5,200.0,9.5,30.625,75.25,71,193,False
546,Derrius Guice,RB,MIDS,70.5,224.0,9.0,30.75,72.75,71,215,False
547,Jalin Marshall,WR,SKILLS,70.5,200.0,9.625,31.5,75.75,71,196,False
549,Darius Anderson,RB,MIDS,70.5,208.0,9.625,30.5,74.375,71,182,False
550,Tony Jones Jr.,RB,MIDS,70.5,220.0,9.5,30.625,74.125,71,210,False
551,Shyheim Carter,DB,SKILLS,70.5,194.0,9.5,29.625,71.75,72,177,False
552,Armani Watts,ATH,SKILLS,70.5,202.0,8.75,31.0,72.375,71,183,False
553,Cam Akers,RB,MIDS,70.375,217.0,9.0,30.625,74.625,71,213,False
554,Christian Kirk,WR,SKILLS,70.375,201.0,9.875,30.375,72.875,71,197,False
555,Travis Homer,RB,MIDS,70.375,201.0,10.0,31.5,75.5,71,195,False
556,Dalvin Cook,RB,MIDS,70.375,210.0,9.25,32.38,75.13,71,196,False
557,Quinton Flowers,ATH,SKILLS,70.375,214.0,9.75,30.875,73.75,72,203,False
558,Garrett Williams,TE,MIDS,70.375,192.0,9.25,31.0,74.5,76,225,False
559,Jordan Whitehead,DB,SKILLS,70.375,198.0,8.5,29.75,70.75,71,171,False
560,Mecole Hardman,ATH,SKILLS,70.25,187.0,9.0,30.25,71.625,71,176,False
561,Jonathan Taylor,RB,MIDS,70.25,226.0,9.5,31.125,75.375,71,208,False
562,Doran Grant,DB,SKILLS,70.25,200.0,9.375,30.25,73.875,71,177,False
563,Jourdan Lewis,DB,SKILLS,70.25,188.0,9.25,31.63,75.13,70,159,False
564,Alvin Kamara,RB,MIDS,70.25,214.0,9.25,32.75,78.25,70,192,False
565,Kelvin Taylor,RB,MIDS,70.25,207.0,8.25,29.25,71.125,71,216,True
566,Mike Hughes,ATH,SKILLS,70.125,189.0,8.75,30.875,73.0,70,181,False
567,Jaquan Johnson,ATH,SKILLS,70.125,191.0,8.75,29.625,72.75,70,182,False
568,Gionni Paul,LB,MIDS,70.125,231.0,8.125,31.0,76.375,72,222,True
569,Adoree' Jackson,DB,SKILLS,70.0,186.0,9.25,31.38,74.0,70,182,False
570,Peyton Barber,RB,MIDS,70.0,228.0,9.375,30.25,73.875,70,210,False
571,Lavert Hill,DB,SKILLS,70.0,190.0,9.125,30.875,74.375,70,176,False
572,Cyrus Jones,ATH,SKILLS,69.875,197.0,9.125,31.375,73.75,71,185,False
573,Kyshoen Jarrett,DB,SKILLS,69.875,200.0,9.75,31.0,76.125,71,184,False
574,Ryan Davis,ATH,SKILLS,69.875,189.0,9.25,30.875,73.0,70,157,False
575,Phillip Dorsett,WR,SKILLS,69.75,185.0,9.375,30.25,74.75,69,167,False
576,Darnay Holmes,DB,SKILLS,69.75,195.0,9.25,29.5,69.75,70,195,False
577,Justice Hill,RB,MIDS,69.625,198.0,9.5,31.625,74.875,70,180,False
578,Mark Walton,RB,MIDS,69.625,202.0,9.25,30.0,72.125,70,185,False
579,Bishop Sankey,RB,MIDS,69.5,209.0,10.0,31.0,73.0,69,185,False
580,J.K. Dobbins,RB,MIDS,69.5,209.0,9.5,29.75,73.5,70,201,False
581,Essang Bassey,DB,SKILLS,69.375,191.0,7.875,31.0,74.5,69,174,True
582,Zack Moss,RB,MIDS,69.375,223.0,9.25,31.25,75.5,70,200,False
583,Kapri Bibbs,RB,MIDS,69.375,212.0,8.5,31.375,73.375,70,194,False
584,Josiah Scott,DB,SKILLS,69.25,185.0,8.75,29.375,71.25,70,170,False
585,Grant Haley,DB,SKILLS,69.25,190.0,9.125,29.75,72.25,70,180,False
586,Bralon Addison,WR,SKILLS,69.25,197.0,9.125,29.5,72.25,70,185,False
587,Antoine Winfield Jr.,DB,SKILLS,69.125,203.0,9.5,30.125,72.75,69,183,False
588,Tavon Young,DB,SKILLS,69.125,183.0,9.125,30.625,75.625,69,155,False
589,Sojourn Shelton,DB,SKILLS,69.0,177.0,8.38,31.0,72.13,70,152,False
590,Thomas Rawls,RB,MIDS,69.0,215.0,9.5,30.75,73.875,70,215,False
591,Jeff Thomas,WR,SKILLS,68.875,170.0,8.375,30.375,73.0,70,170,False
592,Eno Benjamin,RB,MIDS,68.875,207.0,8.625,31.25,76.0,70,203,False
593,Bryce Love,RB,MIDS,68.875,200.0,9.125,29.375,72.875,70,180,False
594,Demario Richard,RB,MIDS,68.75,218.0,9.25,28.75,70.625,69,197,False
595,Ryan Switzer,WR,SKILLS,68.5,181.0,9.25,28.0,68.0,69,170,False
596,Amik Robertson,DB,SKILLS,68.375,187.0,9.0,30.25,73.875,70,170,False
597,D'Andre Swift,RB,MIDS,68.25,212.0,9.0,29.875,72.0,70,214,False
598,DeAndre Washington,ATH,SKILLS,68.25,204.0,9.0,30.0,72.625,68,190,False
599,Trayveon Williams,RB,MIDS,68.125,206.0,9.25,30.375,74.125,69,182,False
601,Myles Bryant,ATH,SKILLS,67.875,183.0,9.125,29.5,69.5,68,168,False
602,Trajan Bandy,DB,SKILLS,67.75,180.0,9.0,29.875,73.25,70,182,False
603,Mohamed Ibrahim,RB,MIDS,67.75,203.0,9.0,28.625,69.625,68,197,False
604,Isaiah McKenzie,ATH,SKILLS,67.5,173.0,8.88,28.88,68.25,68,160,False
605,Trey Williams,RB,MIDS,67.5,195.0,8.25,29.875,71.625,68,180,True
606,Devin Singletary,RB,MIDS,67.5,203.0,8.5,28.875,70.0,68,191,False
607,Clyde Edwards-Helaire,RB,MIDS,67.25,207.0,9.625,29.0,70.625,68,201,False
608,Chris Thompson,WR,SKILLS,67.125,192.0,9.25,30.25,72.75,71,170,False
609,J.J. Taylor,RB,MIDS,65.25,185.0,8.5,28.75,71.25,65,160,False
