College_Weight,HS_Weight,Height,Arm_Length,Hand_Size,Position_Group
215,202,74,33.0,9.5,DB
207,193,74,31.625,9.75,DB
186,180,72,31.375,8.875,DB
202,183,71,31.0,8.75,DB
209,179,70,31.25,8.125,DB
198,171,71,29.75,8.5,DB
229,204,76,32.25,9.5,QB
231,217,78,32.875,9.5,QB
219,224,75,31.125,8.875,QB
222,208,74,31.75,9.75,QB
213,192,75,32.125,10.625,QB
224,179,75,32.625,10.5,QB
231,194,77,32.75,9.375,QB
229,210,76,33.375,9.75,QB
217,215,73,30.5,9.875,QB
198,196,72,31.5,9.25,WR
198,185,73,31.5,9.25,WR
220,200,77,33.375,8.875,WR
238,214,77,32.5,9.875,WR
209,190,75,32.875,9.125,WR
201,181,75,31.375,9.5,WR
200,193,71,30.625,9.5,WR
212,209,75,32.25,9.5,WR
216,191,77,34.125,9.25,WR
196,194,73,29.125,9.25,WR
200,175,74,32.75,9.125,WR
215,186,75,31.625,9.0,WR
193,180,73,32.125,9.5,WR
230,212,77,34.25,10.5,WR
212,200,74,33.5,10.125,WR
206,183,71,31.375,9.5,WR
197,185,72,30.625,9.0,WR
170,170,70,30.375,8.375,WR
248,238,75,32.0,10.0,TE
242,227,77,33.5,9.125,TE
252,228,79,33.25,9.625,TE
257,224,77,32.875,10.5,TE
248,230,77,35.375,10.125,TE
244,220,77,31.125,9.5,TE
197,191,72,29.25,8.75,RB
217,213,71,30.625,9.0,RB
207,203,70,31.25,8.625,RB
209,201,70,29.75,9.5,RB
207,201,68,29.0,9.625,RB
208,203,69,30.375,8.875,RB
223,200,70,31.25,9.25,RB
232,219,75,32.125,10.0,RB
185,160,65,28.75,8.5,RB
226,208,71,31.125,9.5,RB
217,209,74,32.25,9.375,RB
314,257,75,33.625,9.625,OL
315,293,77,31.125,10.125,OL
300,250,77,32.25,10.0,OL
321,320,77,33.0,10.0,OL
311,293,78,33.375,9.0,OL
303,288,76,32.75,9.25,OL
302,272,73,32.125,9.75,OL
309,285,75,33.75,9.625,OL
306,290,77,33.5,10.5,OL
316,270,78,33.875,10.0,OL
315,312,77,34.25,10.5,OL
307,321,75,33.125,11.0,OL
315,326,77,36.125,10.25,OL
317,270,77,32.5,9.5,OL
304,312,76,32.125,9.75,OL
312,318,77,34.25,10.0,OL
320,290,77,34.0,10.25,OL
309,268,75,33.5,10.125,DL
290,326,75,32.375,9.75,DL
326,322,76,34.25,9.0,DL
313,270,74,32.0,9.625,DL
308,260,74,31.5,9.75,DL
311,318,80,33.875,11.0,EDGE
302,301,76,32.375,10.25,DL
263,222,76,34.0,9.625,EDGE
320,285,76,33.0,9.75,DL
248,212,76,32.375,9.25,EDGE
289,282,77,31.875,9.875,EDGE
252,216,76,34.375,10.25,EDGE
262,252,75,32.875,9.75,EDGE
264,220,75,32.375,9.25,EDGE
261,239,75,32.75,10.0,EDGE
275,247,76,32.375,10.125,DL
264,226,77,33.75,10.0,EDGE
235,215,73,31.5,9.375,LB
238,204,74,32.75,9.625,EDGE
240,256,76,32.875,9.125,LB
233,199,77,34.0,9.5,EDGE
280,269,78,33.75,10.25,EDGE
236,212,76,31.375,9.5,EDGE
242,213,74,33.625,9.5,EDGE
231,211,75,32.25,9.375,LB
224,200,71,29.375,10.0,EDGE
227,200,74,30.5,8.75,LB
262,206,74,33.875,9.875,EDGE
240,203,75,34.0,10.125,LB
241,215,74,32.75,9.5,LB
235,213,72,32.375,10.0,LB
234,239,73,31.625,9.125,LB
229,209,73,31.625,10.0,LB
238,211,76,33.375,9.625,LB
237,240,74,31.625,9.625,LB
180,182,70,29.875,9.0,DB
191,174,69,31.0,7.875,DB
183,168,68,29.5,9.125,DB
188,165,74,30.625,9.0,DB
197,172,72,30.625,9.125,DB
197,183,72,31.75,9.125,DB
190,176,70,30.875,9.125,DB
195,195,70,29.5,9.25,DB
208,209,75,32.25,9.5,DB
208,202,75,32.25,9.5,DB
193,181,73,31.375,9.375,DB
187,170,70,30.25,9.0,DB
187,171,74,31.75,10.125,DB
185,170,70,29.375,8.75,DB
195,179,74,31.25,9.0,DB
187,167,72,31.0,9.0,DB
202,178,72,29.5,9.25,DB
194,177,72,29.625,9.5,DB
206,176,74,32.625,8.5,DB
213,189,76,30.375,9.125,DB
205,181,73,31.75,9.125,DB
203,205,74,31.0,9.0,DB
208,180,71,31.75,9.5,DB
198,193,72,30.125,8.75,DB
201,196,73,30.875,8.625,DB
190,173,71,29.875,9.0,DB
190,180,72,29.875,9.0,DB
203,183,69,30.125,9.5,DB
210,185,73,30.25,9.375,QB
220,222,74,30.375,9.75,QB
217,180,75,32.625,9.75,QB
217,198,76,31.375,9.5,QB
211,202,75,33.5,9.375,QB
234,237,76,30.5,9.75,QB
236,211,78,33.0,10.125,QB
217,217,75,32.375,9.875,WR
222,186,76,31.625,10.25,WR
220,202,76,31.375,9.625,WR
215,206,74,33.0,9.75,WR
187,166,73,31.75,9.125,WR
204,200,73,32.75,10.0,WR
212,209,70,30.375,9.5,WR
193,177,72,31.25,9.25,WR
184,180,74,32.875,9.5,WR
194,182,72,30.375,9.75,WR
245,215,77,33.25,9.75,TE
251,244,78,33.0,9.25,TE
240,224,77,31.625,9.375,TE
213,198,71,32.5,8.625,RB
218,188,71,31.0,9.375,RB
201,193,70,29.125,8.75,RB
215,199,71,30.125,9.375,RB
211,194,71,32.5,10.0,RB
189,178,69,31.375,9.375,RB
232,226,75,33.375,10.25,RB
214,205,71,30.5,9.625,RB
246,247,75,32.625,9.375,RB
215,214,73,33.375,9.375,RB
309,302,77,31.625,10.0,OL
308,323,80,35.0,10.0,OL
325,344,79,33.125,10.125,OL
343,314,79,33.75,9.75,OL
316,310,79,33.0,10.25,OL
333,306,77,33.25,10.375,OL
307,325,80,34.375,10.0,OL
305,270,74,32.25,10.125,OL
306,276,77,32.125,9.75,OL
302,310,77,32.5,9.625,OL
321,286,77,32.5,9.5,OL
309,308,77,33.5,10.625,OL
312,327,78,33.875,9.5,OL
313,305,80,33.75,10.125,OL
310,310,78,32.0,10.375,OL
304,269,75,33.0,10.5,OL
321,299,78,33.75,10.0,OL
308,270,76,32.125,9.625,OL
310,296,79,33.75,10.125,OL
253,238,75,32.125,9.625,EDGE
262,254,74,33.125,9.5,EDGE
275,265,76,32.5,10.5,EDGE
258,252,75,31.0,10.125,EDGE
260,256,78,34.5,9.5,EDGE
282,257,74,34.125,10.375,EDGE
260,215,76,35.25,9.625,EDGE
261,226,76,33.0,10.0,EDGE
260,241,77,33.25,9.75,EDGE
251,206,74,33.75,10.125,EDGE
266,247,77,35.25,10.875,EDGE
255,217,78,33.375,9.25,EDGE
242,215,75,33.0,9.5,EDGE
259,241,77,33.25,9.75,EDGE
327,288,76,34.0,10.875,DL
350,376,75,33.625,10.25,DL
330,353,77,32.625,9.125,DL
278,280,74,32.25,8.875,DL
305,297,75,32.5,9.375,DL
317,295,75,33.0,10.375,DL
303,332,76,33.375,10.125,DL
245,232,75,33.5,10.0,LB
234,200,75,33.0,9.5,LB
225,222,75,32.75,9.375,EDGE
227,200,74,30.25,9.625,EDGE
235,235,74,31.875,9.25,LB
233,228,73,30.75,8.625,LB
229,197,75,30.25,9.625,LB
185,173,71,30.375,9.5,DB
192,177,71,31.0,8.875,DB
199,183,71,30.625,9.75,DB
205,183,75,32.125,9.0,DB
192,181,71,29.5,9.5,DB
186,175,73,30.25,8.75,DB
202,189,75,32.625,9.375,DB
213,201,73,32.0,9.75,DB
194,172,73,32.75,9.125,DB
187,186,75,31.125,9.5,DB
191,174,72,32.25,8.625,DB
207,197,74,32.625,10.125,DB
189,171,72,31.5,9.25,DB
191,180,72,30.75,9.625,DB
204,191,72,30.75,9.625,DB
184,174,70,29.125,9.5,DB
207,202,72,31.25,9.625,DB
200,182,73,32.25,9.125,DB
218,190,75,31.125,9.5,QB
249,246,79,33.75,9.875,QB
217,193,75,30.875,8.5,QB
217,195,74,31.0,8.625,QB
177,166,73,32.0,9.75,WR
194,172,72,31.5,10.0,WR
204,190,72,32.125,9.0,RB
206,188,72,29.75,8.5,RB
225,216,74,31.875,9.75,RB
213,196,72,30.25,8.25,RB
250,209,77,32.625,9.5,TE
239,224,76,31.625,10.5,TE
253,230,79,34.5,9.5,TE
312,282,77,34.375,10.25,OL
306,297,77,32.875,9.625,OL
321,331,78,34.375,9.25,OL
321,279,79,36.125,9.875,OL
307,283,77,33.125,10.0,OL
318,334,78,34.875,8.875,OL
315,256,79,33.875,10.5,OL
311,205,77,33.125,10.25,OL
317,310,76,33.125,9.75,OL
314,356,77,33.25,10.0,OL
314,253,75,31.875,9.625,OL
325,290,79,34.125,10.0,OL
297,265,76,33.5,9.25,DL
341,257,77,34.0,10.75,DL
302,223,74,33.625,9.5,DL
300,298,74,31.625,9.875,DL
310,287,76,34.625,10.375,DL
308,279,78,35.5,10.5,DL
248,247,76,30.875,9.75,DL
268,253,75,32.75,9.625,DL
283,270,77,32.625,8.5,DL
267,181,75,32.5,10.25,DL
224,202,74,30.25,9.625,LB
239,209,75,32.375,10.125,LB
238,205,75,30.5,9.375,LB
249,210,76,35.0,10.125,LB
232,180,71,30.125,9.625,LB
233,220,74,31.5,10.0,LB
197,177,73,30.75,8.75,DB
174,153,67,28.875,8.875,DB
174,164,68,28.875,8.875,DB
180,170,72,31.875,9.25,DB
196,176,71,31.875,8.25,DB
194,180,72,30.875,9.375,DB
212,194,75,32.375,9.375,DB
209,188,75,31.375,9.0,DB
201,176,73,31.25,9.125,DB
